trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
111,False,"{'a': 0.5, 'e': 0.32955896107518906}",20,11,17.12314960469361,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.32627979462303947}",20,2,-26.446830581581466,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.3230332564222529}",30,8,-60.467646800336965,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 2}",1
114,False,"{'a': 0.5, 'e': 0.31981902181630384}",20,6,-27.396193571222703,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
115,False,"{'a': 0.5, 'e': 0.31663676937905316}",20,0,-44.61281706474813,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
116,False,"{'a': 0.5, 'e': 0.3134861808826053}",25,0,-70.19836242282932,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
117,False,"{'a': 0.5, 'e': 0.31036694126548503}",25,0,-17.88218495550457,"{0: 18, 1: 5, 2: 2, 3: 0, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.30727873860113125}",20,9,-32.80955188840359,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
119,False,"{'a': 0.5, 'e': 0.3042212640667041}",25,12,16.684268070808596,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.30119421191220214}",25,0,19.392864558122312,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.2981972794298874}",20,0,-10.648448929748845,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
122,False,"{'a': 0.5, 'e': 0.2952301669240142}",30,15,-36.31051856255649,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
123,False,"{'a': 0.5, 'e': 0.2922925776808594}",30,0,-49.745097812696805,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
124,False,"{'a': 0.5, 'e': 0.2893842179390506}",25,9,-2.477579226742587,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.2865047968601901}",20,0,22.795365947106713,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
126,False,"{'a': 0.5, 'e': 0.2836540264997704}",25,0,-20.525844252855848,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",1
127,False,"{'a': 0.5, 'e': 0.2808316217783798}",35,16,-4.211764723480396,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.27803730045319414}",20,5,-67.87515703223791,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 1}",1
129,False,"{'a': 0.5, 'e': 0.27527078308975234}",35,4,-20.146226003261134,"{0: 28, 1: 1, 2: 0, 3: 1, 4: 1}",1
130,False,"{'a': 0.5, 'e': 0.2725317930340126}",30,8,-52.46202570882566,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 2}",1
131,False,"{'a': 0.5, 'e': 0.2698200563846868}",20,2,28.885138517316083,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.26713530196585034}",20,0,-43.736982686742195,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
133,False,"{'a': 0.5, 'e': 0.26447726129982396}",25,7,-34.2975606540473,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
134,False,"{'a': 0.5, 'e': 0.261845668580326}",20,7,-3.5557326389541957,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.2592402606458915}",20,6,-26.82473286202887,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
136,False,"{'a': 0.5, 'e': 0.2566607769535559}",20,11,16.378608767608448,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.25410695955280027}",20,12,15.04914641232672,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.25157855305975646}",30,12,-41.11082792961782,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
139,False,"{'a': 0.5, 'e': 0.24907530463166816}",20,9,15.644058275721195,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.24659696394160643}",20,0,8.408978011021988,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.2441432831534371}",30,8,16.937312803612713,"{0: 19, 1: 3, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.24171401689703645}",25,2,-1.8655692186423192,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 0}",1
